Plan,District,District Area,Incrumbent,Population,White
1,1,10096.88,Trent Kelly,740319,483849
1,2,18412.48,Bennie Thompson,740319,238483
1,3,11830.83,Michael Guest,740320,442249
1,4,8121.62,Steven Palazzo,740321,494312
