                                                  GEOID  votes_dem  ...  index_right  District
292                        28107-CRENSHAW OLD CITY HALL        240  ...            1         2
294                                        28079-CONWAY        287  ...            1         2
298                                        28011-BENOIT        189  ...            1         2
299                                           28077-OMA        239  ...            1         2
300                                  28001-5 WASHINGTON        192  ...            1         2
303                                        28085-VAUGHN         90  ...            1         2
304                                       28007-MCADAMS        150  ...            1         2
305                                   28149-MOOSE LODGE        327  ...            1         2
306                                   28029-CENTERPOINT        315  ...            1         2
310                                       28151-DARLOVE         24  ...            1         2
328                                      28143-PRICHARD        277  ...            1         2
348                     28043-FUTHEYVILLE 1ST PENTECOST        172  ...            1         2
349                                     28063-CITY HALL        462  ...            1         2
350                        28161-SCUNA-VANNS MILL NORTH         32  ...            1         2
351                                     28079-SINGLETON        173  ...            1         2
353                              28119-MARKS SOUTH WEST        243  ...            1         2
355                                   28137-SENATOBIA 1        675  ...            1         2
357                                            28049-91       1363  ...            1         2
359                                            28049-90       1537  ...            1         2
363                                            28049-94       1723  ...            1         2
366                                            28049-93        668  ...            1         2
367                                  28085-OLD RED STAR         75  ...            1         2
368                                            28049-92       1288  ...            1         2
373                                          28137-TYRO        157  ...            1         2
374                                          28099-HOPE         53  ...            1         2
375                                            28049-96       1020  ...            1         2
376                             28157-COLD SPRINGS 4020        101  ...            1         2
378                                   28029-SHADY GROVE        103  ...            1         2
379                                 28143-MHOON LANDING         13  ...            1         2
380                                    28005-HOMOCHITTO          8  ...            1         2
381               28089-COLONIAL HEIGHTS BAPTIST CHURCH        686  ...            1         2
385                                      28083-WEST GWD        879  ...            1         2
390                                     28027-RENA LARA         29  ...            1         2
391                                            28049-80       1059  ...            1         2
392                              28011-DUNCAN-ALLIGATOR        148  ...            1         2
394                                            28049-84        162  ...            1         2
395                                            28049-83       1747  ...            1         2
396                                            28049-82        876  ...            1         2
398                           28133-21-INDIANOLA 2 WEST        501  ...            1         2
400                                            28049-81       1373  ...            1         2
401                                            28049-88        842  ...            1         2
403                                            28049-86        781  ...            1         2
404                                            28049-85       1480  ...            1         2
406                               28163-5-3 HOLLY BLUFF         61  ...            1         2
407                               28123-BEAT 4/CONTRELL        165  ...            1         2
411                                     28019-PANHANDLE         92  ...            1         2
412                          28051-BEAT 3 COXBURG (A-Z)         46  ...            1         2
413                                        28077-SONTAG        102  ...            1         2
415             28113-(18) JOHNSTON CHAPEL METH. CHURCH        138  ...            1         2
418                                      28101-PROSPECT         22  ...            1         2
419                                        28049-TINNIN        284  ...            1         2
420                                      28083-GWD EAST       1110  ...            1         2
422                                        28149-BOVINA        496  ...            1         2
425                               28029-HAZLEHURST WEST        841  ...            1         2
429                    28089-CEDAR GROVE BAPTIST CHURCH         13  ...            1         2
432                                   28097-WINONA WEST        127  ...            1         2
433                      28043-HOLCOMB COMMUNITY CENTER        186  ...            1         2
434                      28133-13-INDIANOLA 1 SOUTHEAST        464  ...            1         2
435                                      28011-EASTGATE        511  ...            1         2
436                                   28049-BROWNSVILLE        208  ...            1         2
437                       28133-52-SUNFLOWER PLANTATION         18  ...            1         2
439                                         28037-CAINS         56  ...            1         2
443                                  28005-LIBERTY EAST         62  ...            1         2
447                             28163-1-1 MECHANICSBURG         43  ...            1         2
448                                 28163-3-3 JONESTOWN        313  ...            1         2
452                                   28037-WHITTINGTON         37  ...            1         2
455                                    28085-CASEYVILLE         91  ...            1         2
457                                          28099-HAYS         49  ...            1         2
463                                    28135-SPRINGHILL         17  ...            1         2
464                                   28015-VAIDEN EAST        260  ...            1         2
467                                          28135-ENID        107  ...            1         2
472                                 28011-ROSEDALE EAST        481  ...            1         2
473          28107-SPRINGPORT SOUTH MT OLIVET FIRE DEPT        309  ...            1         2
474                                         28071-PARIS         29  ...            1         2
477        28107-SPRINGPORT NORTH BLACKJACK COMM CENTER        305  ...            1         2
478                                        28135-BRAZIL         27  ...            1         2
481                                    28163-4-2 MIDWAY        232  ...            1         2
482                                   28001-1 BELLEMONT        519  ...            1         2
485                      28133-33-INDIANOLA 3 NORTHEAST        205  ...            1         2
486                                 28143-TWO MILE LAKE        293  ...            1         2
489                         28029-CRYSTAL SPRINGS NORTH        248  ...            1         2
492                    28089-TRACE RIDGE BAPTIST CHURCH        843  ...            1         2
495                  28107-BATESVILLE EAST 5 COURTHOUSE        613  ...            1         2
496                                 28007-WILLIAMSVILLE        332  ...            1         2
497                       28053-LOUISE SOUTH - 5LS 5030        301  ...            1         2
502                      28053-BELZONI NORTH - 1BN 1020        597  ...            1         2
504                     28125-SPANISH FORT 1ST DISTRICT          3  ...            1         2
505                             28125-CARY 2ND DISTRICT        222  ...            1         2
506                   28107-PLEASANT GROVE FIRE STATION         65  ...            1         2
516                                    28005-TANGIPAHOA         54  ...            1         2
519                                       28119-LAMBERT        291  ...            1         2
521                                         28149-KINGS        453  ...            1         2
523                                   28013-PITTSBORO 1        377  ...            1         2
524                         28151-COVENANT PRESBYTERIAN        264  ...            1         2
528                                       28071-BURGESS        133  ...            1         2
534                                       28121-LIBERTY        559  ...            1         2
535                             28123-BEAT 5/SEBASTOPOL         20  ...            1         2
536                                      28155-TOMNOLEN         32  ...            1         2
537                                   28083-GWD CENTRAL        240  ...            1         2
542                                     28135-ROSEBLOOM          3  ...            1         2
544                                 28085-LITTLE BAHALA         73  ...            1         2
545                         28143-WHITE OAK REC. CENTER        285  ...            1         2
551                                     28019-WEIR WEST         85  ...            1         2
