                                                  GEOID  votes_dem  ...  index_right  District
1293                                     28011-GUNNISON        170  ...            1         2
1294                                  28163-2-6 FUGATES        180  ...            1         2
1295                                         28149-YMCA        210  ...            1         2
1299                                28135-MURPHREESBORE         18  ...            1         2
1300                         28113-(25) OSYKA CITY HALL        124  ...            1         2
1301                                 28119-LAMBERT WEST        238  ...            1         2
1302                               28143-BANKS/HAMBRICK        194  ...            1         2
1311                                         28011-PACE         28  ...            1         2
1312                                        28137-SARAH          8  ...            1         2
1313                          28063-MULTIPURPOSE CENTER        284  ...            1         2
1315                  28151-MOUNT BETHEL BAPTIST CHURCH        502  ...            1         2
1316                                  28019-FRENCH CAMP         53  ...            1         2
1317                                      28079-SUNRISE         20  ...            1         2
1322                           28123-BEAT 1/HARPERVILLE        393  ...            1         2
1323                             28119-DISTRICT 3 NORTH        205  ...            1         2
1324                                         28007-EAST        188  ...            1         2
1326                                     28135-TEASDALE         61  ...            1         2
1328                    28125-ROLLING FORK 2ND DISTRICT         42  ...            1         2
1329                           28089-CHINA GROVE CHURCH        416  ...            1         2
1330                                28007-NORTH CENTRAL         31  ...            1         2
1332                           28151-LELAND ROTARY CLUB        618  ...            1         2
1337                                 28107-COMO LIBRARY        712  ...            1         2
1338                               28001-2 LIBERTY PARK        206  ...            1         2
1339                                   28127-BRIDGEPORT        215  ...            1         2
1343                                   28085-MONTGOMERY        142  ...            1         2
1344                                    28049-ST THOMAS        308  ...            1         2
1346               28143-ROBINSONVILLE COMMUNITY CENTER        315  ...            1         2
1349                                   28001-2 BEAU PRE        318  ...            1         2
1351                                   28163-2-1 BENTON        251  ...            1         2
1355                        28051-BEAT 4 THORNTON (A-Z)        261  ...            1         2
1358                                  28149-CEDAR GROVE        916  ...            1         2
1361                                      28097-NATIONS         26  ...            1         2
1367                             28005-CENTREVILLE EAST        146  ...            1         2
1369                                        28011-SKENE         11  ...            1         2
1376                       28011-CLEVELAND EAST CENTRAL        420  ...            1         2
1377                      28107-SARDIS NORTH COURTHOUSE        607  ...            1         2
1378                                      28027-FARRELL        126  ...            1         2
1380                                28051-BEAT 5 TCHULA        942  ...            1         2
1381                                       28079-FREENY        100  ...            1         2
1382               28043-GEESLIN FRIENDSHIP BAPT CHURCH        119  ...            1         2
1383                                 28027-FRIARS POINT        437  ...            1         2
1385                                     28119-CRENSHAW        110  ...            1         2
1389                                   28011-STRINGTOWN          3  ...            1         2
1391                             28119-MARKS NORTH WEST        395  ...            1         2
1392                 28089-CANTON NATIONAL GUARD ARMORY        150  ...            1         2
1393                                    28049-OLD BYRAM        888  ...            1         2
1395                                    28097-DUCK HILL        192  ...            1         2
1401                  28151-METCALFE MUNICIPAL BUILDING        399  ...            1         2
1402                              28011-CLEVELAND SOUTH        796  ...            1         2
1403                                  28051-BEAT 2 WEST        278  ...            1         2
1410                                    28027-ROUNDAWAY         45  ...            1         2
1413                           28107-TOCOWA COMM CENTER        113  ...            1         2
1417                                     28083-SWIFTOWN         18  ...            1         2
1423                                       28011-RENOVA        259  ...            1         2
1424                                    28135-LEVERETTE         43  ...            1         2
1425                                  28083-MINTER CITY         80  ...            1         2
1427                                        28099-DIXON        174  ...            1         2
1428                          28163-5-4 N.D. TAYLOR GYM       1207  ...            1         2
1434       28107-EAST CROWDER WASTEWATER TREATMENT BLDG        158  ...            1         2
1440   28107-BATESVILLE EAST 4 PANOLA CO EXTENSION BLDG        138  ...            1         2
1443                        28125-ANGUILLA 4TH DISTRICT        181  ...            1         2
1446                    28063-MT. ISREAL BAPTIST CHURCH        408  ...            1         2
1449                   28113-(24) ST. MARY OF THE PINES        331  ...            1         2
1450                         28029-CRYSTAL SPRINGS WEST        338  ...            1         2
1453                               28121-RICHLAND SOUTH        523  ...            1         2
1458                                        28007-BEREA         11  ...            1         2
1461                28107-BATESVILLE 3 CLIFF FINCH BLDG        112  ...            1         2
1462                                  28001-4 CARPENTER        276  ...            1         2
1463                                       28121-FANNIN        360  ...            1         2
1464                    28125-ROLLING FORK 4TH DISTRICT         96  ...            1         2
1465                                   28029-BEAUREGARD        145  ...            1         2
1466                                        28083-MONEY         33  ...            1         2
1468                                    28159-MARS HILL        250  ...            1         2
1469                                   28083-RISING SUN        426  ...            1         2
1471                           28149-NO. 7 FIRE STATION        691  ...            1         2
1473                              28029-HAZLEHURST EAST        922  ...            1         2
1477                                    28001-3 CONCORD        522  ...            1         2
1479                28089-MAD.CO.BAPTIST FAMILY LIFE CT        656  ...            1         2
1481                    28053-FOURMILE NORTH - 1FN 1010          3  ...            1         2
1485                                28079-CARTHAGE WEST        643  ...            1         2
1486                                 28163-1-7 SATARTIA         13  ...            1         2
1489                     28053-BELZONI SOUTH - 5BS 5010        289  ...            1         2
1490                                28037-WESLEY CHAPEL         67  ...            1         2
1491                   28089-PLEASANT GREEN M.B. CHURCH        531  ...            1         2
1494                                   28015-BLACK HAWK         74  ...            1         2
1499                             28161-TWO WATER VALLEY        725  ...            1         2
1501                             28001-3 MARYLAND HGTS.        420  ...            1         2
1507                                     28163-2-5 ZION         69  ...            1         2
1508                                      28007-NEWPORT        133  ...            1         2
1510                     28053-BELZONI SOUTH - 3BS 3010        302  ...            1         2
1515                                      28133-54-DREW        712  ...            1         2
1516                             28119-DISTRICT 3 SOUTH        179  ...            1         2
1518                        28027-CLARKSDALE COURTHOUSE        402  ...            1         2
1521                                     28163-4-1 EDEN         64  ...            1         2
1523                             28029-GEORGETOWN SOUTH        141  ...            1         2
1525                                 28163-4-5 FREE RUN         26  ...            1         2
1532                                28051-BEAT 2 DURANT        376  ...            1         2
1534                                         28027-BOBO         83  ...            1         2
1541                28113-(23) WEST MCCOMB BAPT. CHURCH        267  ...            1         2
1544                                      28027-COAHOMA        188  ...            1         2
1550                                 28121-CLEAR BRANCH        149  ...            1         2
1553                                    28135-BLUE CANE        236  ...            1         2
1556                             28161-FOUR COFFEEVILLE        375  ...            1         2
1560                        28107-LONGTOWN FIRE STATION        131  ...            1         2
1563                                     28149-LEE ROAD        316  ...            1         2
1564                    28089-TWIN LAKES BAPTIST CHURCH        540  ...            1         2
1565                                    28037-MEADVILLE         73  ...            1         2
1567                                    28137-ARKABUTLA        222  ...            1         2
1568                                   28007-NORTH WEST        263  ...            1         2
1572                                    28049-CLINTON 3        978  ...            1         2
1573                                    28049-CLINTON 2        945  ...            1         2
1574                                    28049-CLINTON 1        544  ...            1         2
1576                                    28049-CLINTON 7        700  ...            1         2
1577                                    28049-CLINTON 6        803  ...            1         2
1579                                      28085-JOHNSON         81  ...            1         2
1580                                    28049-CLINTON 5        393  ...            1         2
1582                     28151-ARCOLA TECHNOLOGY CENTER        261  ...            1         2
1583                                    28049-CLINTON 4        562  ...            1         2
1584                                  28137-STRAYHORN 1         53  ...            1         2
1590                               28033-LAKE CORMORANT        157  ...            1         2
1593                                    28049-PINEHAVEN       1158  ...            1         2
1595        28089-FEARNS CHAPEL FREEWILL BAPTIST CHURCH        405  ...            1         2
1600                               28013-CALHOUN CITY 4        243  ...            1         2
1606                                28133-42-BOYER-LINN        169  ...            1         2
1611                                       28121-CLEARY        176  ...            1         2
1612                           28133-51-RULEVILLE NORTH        161  ...            1         2
1620                                       28033-EUDORA        234  ...            1         2
1622                                   28151-ELKS LODGE       1791  ...            1         2
1623                           28027-CLARKSDALE 4 NORTH        102  ...            1         2
1632                            28051-BEAT 2 SUB DURANT        400  ...            1         2
1633                 28089-PLEASANT GIFT BAPTIST CHURCH        409  ...            1         2
1644                      28089-FELLOWSHIP BIBLE CHURCH        586  ...            1         2
1645                                  28063-CHURCH HILL         65  ...            1         2
1648                               28133-45-SUNFLOWER 4        370  ...            1         2
1650                                 28161-FOUR OAKLAND        415  ...            1         2
1654                                  28097-WINONA EAST        318  ...            1         2
1660                  28063-LOCUST GROVE BAPTIST CHURCH        511  ...            1         2
1666                    28043-PLEASANT GROVE COMMUN CEN        304  ...            1         2
1671                                    28089-FARMHAVEN        643  ...            1         2
1672                    28143-TUNICA CO. SUPT. OF EDUC.        163  ...            1         2
1673                               28051-BEAT 3 PICKENS        573  ...            1         2
1676                                28079-CARTHAGE EAST        180  ...            1         2
1679                                 28097-POPLAR CREEK          6  ...            1         2
1685                 28053-GOODEN LAKE NORTH - 2GN 2030         15  ...            1         2
1688                                  28015-VAIDEN WEST        169  ...            1         2
1692                           28157-WOODVILLE 5TH 5010        304  ...            1         2
1693                                      28005-LIBERTY        134  ...            1         2
1697                                   28007-SOUTH WEST        240  ...            1         2
1698                      28089-NEW LIFE BAPTIST CHURCH        391  ...            1         2
1699                         28157-CENTREVILLE 3RD 3010        444  ...            1         2
1700                                       28119-SLEDGE        325  ...            1         2
1701                                       28049-CAYUGA        173  ...            1         2
1705                                        28135-TIPPO         60  ...            1         2
1706                    28027-SASSE STREET FIRE STATION        445  ...            1         2
1707                                 28001-1 COURTHOUSE        185  ...            1         2
1708                28089-CANTON CATHOLIC PARISH CENTER        867  ...            1         2
1712                                         28097-LODI        139  ...            1         2
1717                                        28083-SIDON        167  ...            1         2
1718                               28007-LIBERTY CHAPEL         57  ...            1         2
1722                                          28155-FAY          3  ...            1         2
1726                                      28005-BERWICK        208  ...            1         2
1729                                   28049-POCAHONTAS        313  ...            1         2
1731                                      28029-GALLMAN        773  ...            1         2
1732                                       28121-PISGAH        235  ...            1         2
1734                                   28079-THOMASTOWN        225  ...            1         2
1739                                    28037-KNOXVILLE         59  ...            1         2
1745                             28097-KILMICHAEL NORTH         66  ...            1         2
1746                     28043-ELLIOTT VOL FIRE STATION         94  ...            1         2
1752                                    28019-WEIR EAST        204  ...            1         2
1753                                      28133-53-ROME         72  ...            1         2
1754                                   28021-COUNTY 5-B        394  ...            1         2
1755                                   28021-COUNTY 5-A        487  ...            1         2
1757                                    28099-ARLINGTON         14  ...            1         2
1758                      28151-WARDS RECREATION CENTER        933  ...            1         2
1759                                      28049-LEARNED        182  ...            1         2
1762                                 28097-WINONA NORTH        152  ...            1         2
1                                           28059-LARUE         22  ...            3         4
2                                      28039-COURTHOUSE         29  ...            3         4
4                                      28131-COURTHOUSE         94  ...            3         4
9                                       28045-SOUTH BAY        364  ...            3         4
12                                      28045-KILN WEST        106  ...            3         4
19                                  28059-FONTAINEBLEAU        985  ...            3         4
21                                     28109-CARRIERE 3        146  ...            3         4
23                                        28073-OKAHOLA        138  ...            3         4
25                                     28109-CARRIERE 5        193  ...            3         4
35                                  28039-MIDDLE SCHOOL        213  ...            3         4
38                                28047-NEW POPPS FERRY        385  ...            3         4
54                                      28073-OAK GROVE        439  ...            3         4
56                                   28059-WEST JACKSON       1085  ...            3         4
59                                        28059-LATIMER        407  ...            3         4
64                                    28047-BAY CENTRAL        445  ...            3         4
69                                         28041-VERNAL         45  ...            3         4
74                                 28047-BILOXI CENTRAL        481  ...            3         4
79                                  28035-LILLIE BURNEY       1465  ...            3         4
85                                         28031-OKAHAY        517  ...            3         4
86                                          28041-JONES          1  ...            3         4
88                                     28131-PERKINSTON         60  ...            3         4
89                                           28035-CAMP        337  ...            3         4
93                         28047-COUNTY FARM/GULF HAVEN        373  ...            3         4
97                                   28035-HARDY STREET        655  ...            3         4
99                                  28109-PIC/HAWL/NH 5        393  ...            3         4
109                                       28073-BRELAND        833  ...            3         4
110                                         28039-BASIN        177  ...            3         4
114                                   28035-TRAIN DEPOT        309  ...            3         4
116                                     28067-SAND HILL         58  ...            3         4
127                                  28035-COURT STREET        431  ...            3         4
130                                       28035-SUNRISE        408  ...            3         4
136                                          28073-YAWN         12  ...            3         4
142                                        28067-POWERS        216  ...            3         4
143                                        28067-HEBRON        340  ...            3         4
155                                28045-NORTH BAY EAST        264  ...            3         4
157                                    28067-PINE GROVE         47  ...            3         4
163                                28067-PLEASANT RIDGE         31  ...            3         4
164                               28067-OAK PARK SCHOOL        622  ...            3         4
169                       28131-TEN MILE NATIONAL GUARD         32  ...            3         4
171                              28059-JEFFERSON STREET       1170  ...            3         4
174                              28045-DIAMONDHEAD WEST        299  ...            3         4
176                                   28059-CARTERVILLE          7  ...            3         4
177                                  28073-WESLEY MANOR        606  ...            3         4
179                                 28041-MUTUAL RIGHTS          9  ...            3         4
206                                    28153-WINCHESTER        344  ...            3         4
219                                     28131-BIG LEVEL         91  ...            3         4
220                                  28153-YELLOW CREEK        163  ...            3         4
226                                        28041-MCLAIN        164  ...            3         4
230                            28047-LONG BEACH OUTSIDE         56  ...            3         4
242                                   28047-EAST BILOXI        801  ...            3         4
251                               28059-VANCLEAVE SOUTH        196  ...            3         4
257                                      28045-STANDARD         75  ...            3         4
269                                   28047-LIZANA WEST         59  ...            3         4
270                                        28039-BARTON         71  ...            3         4
275                           28111-INDIAN SPRINGS 1010        133  ...            3         4
287                                  28059-OS CIVIC CTR        991  ...            3         4
293                                        28073-PURVIS        329  ...            3         4
302                                  28073-PURVIS SOUTH        152  ...            3         4
308                                      28047-WESTSIDE        298  ...            3         4
317                                  28073-ROCKY BRANCH        130  ...            3         4
322                                      28131-NEW HOPE        555  ...            3         4
323                                        28035-CARNES         28  ...            3         4
326                                 28059-YMBC-DANTZLER        722  ...            3         4
327                                      28131-MAGNOLIA         24  ...            3         4
330                                    28109-PROGRESS 3         15  ...            3         4
333                                 28031-COLLINS SOUTH         44  ...            3         4
339                          28109-PICAYUNE 1 SOUTHSIDE        978  ...            3         4
344                                          28059-FAIR       1466  ...            3         4
346                                      28035-LEEVILLE        161  ...            3         4
347                                        28067-CURRIE        169  ...            3         4
358                                   28059-VILLA MARIA        158  ...            3         4
360                                    28073-GREENVILLE         34  ...            3         4
361                                      28045-LEE TOWN         83  ...            3         4
369                           28109-PICAYUNE 1 EASTSIDE        512  ...            3         4
405                                        28059-HWY 57         24  ...            3         4
414                                    28109-SYCAMORE 5         96  ...            3         4
416                               28059-VANCLEAVE NORTH        277  ...            3         4
421                                        28039-BEXLEY         82  ...            3         4
423                                  28045-EDWARDSVILLE         63  ...            3         4
430                                 28045-BAYOU PHILLIP         94  ...            3         4
431                                          28041-WADE         35  ...            3         4
451                                       28153-MOZINGO         61  ...            3         4
453                                   28109-WHITESAND 1        204  ...            3         4
454                                   28041-LEAKESVILLE         86  ...            3         4
458                                      28035-WESTSIDE        474  ...            3         4
466                                   28039-SHADY GROVE         45  ...            3         4
469                                   28047-POPLAR HEAD         48  ...            3         4
471                            28111-THOMPSON HILL 5130          3  ...            3         4
475                                  28109-SPRINGHILL 2         27  ...            3         4
480                                 28109-AMACKERTOWN 2         22  ...            3         4
483                                   28045-PEARLINGTON        197  ...            3         4
488                                       28131-ELARBEE         30  ...            3         4
493                                     28059-BIG POINT        113  ...            3         4
499                            28035-DIXIE PINE CENTRAL        731  ...            3         4
520                                  28059-ORANGE GROVE        131  ...            3         4
525                                    28153-STATE LINE        242  ...            3         4
529                                    28039-MULTI MART         27  ...            3         4
533                             28047-LONG BEACH 1 WEST        656  ...            3         4
539                                         28067-ERATA        221  ...            3         4
540                              28059-PASCAGOULA NORTH         76  ...            3         4
556                                    28061-HEIDELBERG        840  ...            3         4
564                                 28035-EUREKA SCHOOL        382  ...            3         4
567                                  28153-STRENGTHFORD          4  ...            3         4
571                                        28047-LADNER        154  ...            3         4
572                                    28047-BILOXI BAY        458  ...            3         4
583                                     28131-TUXECHANA         89  ...            3         4
590                                      28039-BENNDALE        119  ...            3         4
597                              28045-DIAMONDHEAD EAST        753  ...            3         4
600                                   28067-CENTERVILLE         11  ...            3         4
609                                     28047-BILOXI 08        618  ...            3         4
614                                     28073-LUMBERTON        551  ...            3         4
617                                   28131-FLINT CREEK        137  ...            3         4
621                                 28035-HIGHLAND PARK        617  ...            3         4
624                                        28045-FENTON         80  ...            3         4
626                                28047-BEL-AIRE NORTH       1720  ...            3         4
627                            28067-SPRINGHILL/MAULDIN        198  ...            3         4
632                                       28067-ANTIOCH         16  ...            3         4
635                                     28047-BILOXI 11       1138  ...            3         4
638                                     28047-BILOXI 10        280  ...            3         4
641                               28131-MCHENRY LIBRARY         35  ...            3         4
648                             28059-GULF PARK ESTATES        666  ...            3         4
651                                    28035-WEST HILLS        267  ...            3         4
652                                         28091-UNION         12  ...            3         4
653                           28045-WEST SHORELINE PARK         79  ...            3         4
654                                       28047-SAUCIER        177  ...            3         4
663                                   28073-ARNOLD LINE        437  ...            3         4
665                           28047-PASS CHRISTIAN EAST        692  ...            3         4
666                                         28047-PEACE        205  ...            3         4
667                                   28045-CRANE CREEK         49  ...            3         4
675                                     28059-PINECREST        228  ...            3         4
686                               28131-AMERICAN LEGION        385  ...            3         4
687                                    28109-PICAYUNE 2        225  ...            3         4
688                              28111-HINTONVILLE 4090         87  ...            3         4
693                                    28109-PICAYUNE 4         80  ...            3         4
712                                 28039-MULTI-PURPOSE         22  ...            3         4
720                               28067-MAGNOLIA CENTER       1169  ...            3         4
723                                         28035-DIXIE        147  ...            3         4
739                                       28067-MOSELLE        199  ...            3         4
748                                     28059-SUE ELLEN       1624  ...            3         4
749                                  28109-MILL CREEK 2         64  ...            3         4
752                          28059-GRACE BAPTIST CHURCH        732  ...            3         4
760                                28045-NORTH BAY WEST        221  ...            3         4
768                                      28035-GLENDALE        712  ...            3         4
769                              28059-OS COMMUNITY CTR         97  ...            3         4
798                                       28067-SHELTON        169  ...            3         4
800                                     28023-LANGSDALE         35  ...            3         4
805                                  28109-CROSSROADS 2         54  ...            3         4
819                         28131-OLD HEALTH DEPARTMENT         88  ...            3         4
825                              28041-WASHINGTON NEELY          8  ...            3         4
827                                28111-ARLINGTON 4100         68  ...            3         4
831                                      28059-RED HILL         20  ...            3         4
832                                      28035-MCLAURIN         49  ...            3         4
836                                     28039-CITY HALL         96  ...            3         4
837                                        28041-MAPLES         56  ...            3         4
838                                      28047-NEW HOPE        637  ...            3         4
853                                      28035-DANTZLER         36  ...            3         4
862                                    28153-BUCKATUNNA        254  ...            3         4
863                                      28153-HIWANNEE        203  ...            3         4
871                                28047-HANDSBORO WEST        396  ...            3         4
873                                      28035-BROOKLYN         30  ...            3         4
876                                         28041-PIAVE         11  ...            3         4
878                 28111-BEAUMONT SENIOR CITIZENS 5120         42  ...            3         4
887                                  28047-HOWARD CREEK        577  ...            3         4
896                                    28059-REC CENTER        956  ...            3         4
898                                       28031-SANFORD         72  ...            3         4
899                                28047-MISS CITY EAST        727  ...            3         4
912                                     28045-CITY HALL        462  ...            3         4
913                                          28067-SOSO        358  ...            3         4
914                             28047-LONG BEACH 3 EAST        506  ...            3         4
918                                       28047-ADVANCE        124  ...            3         4
926                           28047-NORTH GULFPORT EAST        572  ...            3         4
928                                     28045-LAKESHORE        215  ...            3         4
929                                    28041-STATE LINE        329  ...            3         4
930                                    28035-PETAL WEST        212  ...            3         4
938                                         28153-CLARA         45  ...            3         4
940                                        28153-DENHAM         77  ...            3         4
942                                     28059-ESCATAWPA        519  ...            3         4
944                                     28047-STONEWALL        518  ...            3         4
959                                  28067-LAUREL NORTH        905  ...            3         4
961                                        28039-BROOME          3  ...            3         4
968                                 28035-SIGLER CENTER        712  ...            3         4
969             28047-GULFPORT 07 WEST MISSISSIPPI CITY        317  ...            3         4
979                      28131-MCHENRY COMMUNITY CENTER        147  ...            3         4
996                                 28035-PETAL MASONIC        231  ...            3         4
997                     28111-RICHTON HOLLY STREET 3060        167  ...            3         4
1004                                    28067-BLACKWELL         10  ...            3         4
1011                                      28073-SUMRALL        316  ...            3         4
1014                             28047-W PASS CHRISTIAN        402  ...            3         4
1039                                       28067-RAINEY         50  ...            3         4
1041                                   28039-TWIN CREEK         37  ...            3         4
1047                                  28045-GARDEN ISLE        118  ...            3         4
1048                                      28047-VIDALIA         41  ...            3         4
1054                                      28153-CHICORA         57  ...            3         4
1064                                        28067-GLADE         45  ...            3         4
1067                              28047-MARGARET SHERRY        574  ...            3         4
1069                    28111-MIRACLE TEMPLE COGIC 1040        100  ...            3         4
1071                                    28023-BEAVERDAM        143  ...            3         4
1076                              28111-COURTHOUSE 5110         35  ...            3         4
1078                                28045-WAVELAND EAST        308  ...            3         4
1080                                  28047-GULFPORT 14        989  ...            3         4
1081                                  28047-GULFPORT 13        830  ...            3         4
1092                                  28047-GULFPORT 16        622  ...            3         4
1102                                  28073-LAKE SERENE        545  ...            3         4
1111                                  28047-GULFPORT 03        368  ...            3         4
1112                            28153-WAYNESBORO CITY 2        432  ...            3         4
1113                            28153-WAYNESBORO CITY 1        500  ...            3         4
1118                            28153-WAYNESBORO CITY 5        205  ...            3         4
1119                                  28047-GULFPORT 05        297  ...            3         4
1121                            28153-WAYNESBORO CITY 4        248  ...            3         4
1122                                  28047-GULFPORT 04        123  ...            3         4
1124                                 28109-PINE GROVE 4         84  ...            3         4
1125                            28153-WAYNESBORO CITY 3        189  ...            3         4
1127                                      28045-DEDEAUX         48  ...            3         4
1128                                  28047-GULFPORT 08        604  ...            3         4
1131                             28111-RUNNELSTOWN 2040         56  ...            3         4
1136                                28059-HICKORY HILLS        605  ...            3         4
1140                                        28067-OVETT         42  ...            3         4
1149                                      28039-MOVELLA         16  ...            3         4
1155                                28035-HEIGHTS NORTH        778  ...            3         4
1157            28111-NEW AUGUSTA COMMUNITY CENTER 1020        105  ...            3         4
1166                            28059-RYAN YOUTH CENTER        479  ...            3         4
1170                                   28109-F Z GOSS 4        163  ...            3         4
1175                      28109-GUMPOND/HICKORY GROVE 3         67  ...            3         4
1185                                    28045-KILN EAST         65  ...            3         4
1188                      28067-PARKVIEW BAPTIST CHURCH        401  ...            3         4
1202                                     28031-RICHMOND         51  ...            3         4
1205                                        28035-MAXIE         39  ...            3         4
1207                               28153-PLEASANT GROVE        107  ...            3         4
1209                                     28035-RICHBURG        196  ...            3         4
1214                            28041-LEAKESVILLE NORTH        169  ...            3         4
1221                                       28067-GITANO         60  ...            3         4
1223                                    28059-ST MARTIN        640  ...            3         4
1232                                      28035-SHEEPLO        259  ...            3         4
1239                                     28041-JONATHAN         11  ...            3         4
1240                                         28131-BOND         10  ...            3         4
1241                                      28109-DERBY 1         81  ...            3         4
1243                                      28039-CENTRAL         18  ...            3         4
1247                                        28067-UNION         38  ...            3         4
1251                                     28031-MITCHELL          7  ...            3         4
1252                                       28067-MYRICK         45  ...            3         4
1254                                 28047-WHITE PLAINS        119  ...            3         4
1255                                   28023-CARMICHAEL         70  ...            3         4
1258                                        28047-LYMAN       1015  ...            3         4
1263                                  28109-NICHOLSON 4        107  ...            3         4
1271                                     28061-STRINGER         83  ...            3         4
1278                               28047-HANDSBORO EAST        364  ...            3         4
1284                            28047-ORANGE GROVE WEST       1080  ...            3         4
1285                                       28091-MORRIS        431  ...            3         4
1286                                     28153-BIG ROCK         76  ...            3         4
1287                                28111-PROSPECT 2050         17  ...            3         4
1290                                     28059-EASTLAWN        197  ...            3         4
1291                            28153-CHAPPARAL/DIAMOND        249  ...            3         4
1296                                  28111-JANICE 5140         61  ...            3         4
1297                                   28129-SUMMERLAND        412  ...            3         4
1303                                    28073-KINGSMILL        215  ...            3         4
1307                                28035-RAWLS SPRINGS        447  ...            3         4
1308                                   28073-MILL CREEK        100  ...            3         4
1314                                     28045-FLAT TOP         61  ...            3         4
1319                                28131-PLEASANT HILL         25  ...            3         4
1327                                     28039-AGRICOLA         51  ...            3         4
1331                                        28039-SALEM         18  ...            3         4
1335                        28067-FIRST ASSEMBLY OF GOD        316  ...            3         4
1345                                    28067-BIG CREEK         23  ...            3         4
1359                     28111-BEAUMONT DISTRICT 1 1030        371  ...            3         4
1366                                      28067-JOHNSON         30  ...            3         4
1370                                   28039-PINE LEVEL         39  ...            3         4
1373                                    28047-RICEVILLE         11  ...            3         4
1404                               28047-BEL-AIRE SOUTH        942  ...            3         4
1405                                     28073-RICHBURG        596  ...            3         4
1411                                      28047-DELISLE        548  ...            3         4
1414                                   28073-LAMAR PARK        688  ...            3         4
1430                             28153-MATHERVILLE/COYT         30  ...            3         4
1438                                  28039-ROCKY CREEK         74  ...            3         4
1445                                   28035-EATONVILLE        197  ...            3         4
1454                            28047-ORANGE GROVE EAST       1036  ...            3         4
1459                               28047-MAGNOLIA GROVE        574  ...            3         4
1476                                   28045-COURTHOUSE         60  ...            3         4
1482                              28073-LAMAR NORTHEAST        617  ...            3         4
1492                                    28047-NORTH BAY       1466  ...            3         4
1493                                      28035-BAR MAC        375  ...            3         4
1502                                      28067-LANDRUM         20  ...            3         4
1511                                 28047-LONG BEACH 6        257  ...            3         4
1513                                 28047-LONG BEACH 5        406  ...            3         4
1519                                    28091-PINE BURR        112  ...            3         4
1522                               28109-STEEP HOLLOW 3         66  ...            3         4
1530                                         28073-OLOH         56  ...            3         4
1538                   28111-RICHTON MULTI PURPOSE 4080        100  ...            3         4
1543                                     28067-MATTHEWS         37  ...            3         4
1545                              28111-DEEP CREEK 5150         17  ...            3         4
1546                                      28059-GAUTIER       1766  ...            3         4
1562                                    28109-MCNEILL 3         58  ...            3         4
1569                                    28045-CATAHOULA         10  ...            3         4
1570                              28067-GEORGE HARRISON        370  ...            3         4
1575                                  28067-SHADY GROVE        609  ...            3         4
1578                                        28035-ROWAN        507  ...            3         4
1585                                   28073-PINE GROVE         27  ...            3         4
1586                                       28073-MIDWAY        198  ...            3         4
1587                                 28067-SANDERSVILLE        119  ...            3         4
