0,90,474,2
2,339,446,2
4,43,567,2
7,120,928,2
9,657,156,2
19,125,712,2
49,573,110,2
50,1212,456,2
62,1492,439,2
67,110,1054,2
70,62,427,2
72,71,487,2
73,1244,408,2
75,177,513,2
76,1438,646,2
83,260,409,2
85,126,721,2
87,121,769,2
89,114,683,2
91,9,117,2
203,563,374,2
213,882,861,2
315,74,262,2
328,200,85,2
496,14,12,2
592,253,300,2
593,568,631,2
595,24,287,2
597,235,173,2
598,188,905,2
604,289,1424,2
611,104,709,2
669,31,319,2
677,49,212,2
857,361,293,2
858,851,387,2
863,589,340,2
885,296,109,2
887,1705,583,2
889,26,23,2
890,7,0,2
893,103,303,2
894,537,192,2
905,265,685,2
954,149,630,2
956,160,772,2
957,233,997,2
973,118,32,2
1072,45,168,2
1268,974,229,2
1273,1096,216,2
1290,297,93,2
1297,234,78,2
1299,0,1,2
1301,2166,697,2
1321,92,68,2
1323,734,233,2
1324,950,452,2
1333,1185,832,2
1363,131,41,2
1365,1932,1359,2
1366,152,110,2
1370,1339,551,2
1371,798,378,2
1378,156,73,2
1381,33,34,2
1411,537,950,2
1469,0,2,2
1471,158,78,2
1472,912,918,2
1474,42,23,2
1476,818,551,2
1483,646,592,2
1484,925,669,2
1490,348,303,2
1508,805,889,2
1509,58,11,2
1511,61,18,2
1516,784,801,2
1527,1293,1021,2
1533,1332,764,2
1536,40,9,2
1548,1162,1118,2
1550,2232,1055,2
1552,774,644,2
1553,149,58,2
1555,306,242,2
1557,89,245,2
1572,641,1333,2
1575,135,1006,2
1576,42,480,2
1629,90,371,2
1692,91,874,2
1748,75,744,2
1770,267,71,2
1843,351,777,2
1928,233,90,2
1936,136,678,2
1949,1360,4372,2
2061,368,197,2
2063,3,61,2
2188,374,392,2
2329,28,452,2
2358,110,848,2
2433,2780,492,2
2435,1,8,2
2437,948,136,2
2439,271,8,2
2687,2112,1809,2
2698,1993,1998,2
2713,402,1131,2
2731,836,2989,2
2736,11,130,2
2764,346,163,2
2765,375,288,2
2766,36,42,2
2769,93,10,2
2771,751,671,2
2775,327,233,2
2804,1151,1423,2
2808,47,34,2
2809,809,835,2
2810,23,21,2
2830,1067,1330,2
2834,308,432,2
2847,336,259,2
2878,679,527,2
2975,76,683,2
2978,326,130,2
2980,78,46,2
2981,173,110,2
2984,146,678,2
2986,95,469,2
2991,282,239,2
2992,97,493,2
2993,879,1987,2
3001,111,177,2
3009,746,452,2
3011,1433,1140,2
3012,95,525,2
3013,116,93,2
3015,116,16,2
3016,239,156,2
3017,14,0,2
3018,341,127,2
3023,659,381,2
3025,140,40,2
3026,632,120,2
3031,233,544,2
3033,189,10,2
3035,152,129,2
3036,978,51,2
3038,153,4,2
3041,1871,265,2
3055,1060,30,2
3056,176,1000,2
3062,623,40,2
3065,2529,207,2
3073,1054,41,2
3101,318,1076,2
3105,138,393,2
3106,708,466,2
3107,166,170,2
3109,237,1197,2
3110,114,218,2
3127,284,509,2
3128,155,646,2
3133,104,28,2
3134,128,36,2
3135,116,22,2
3139,1140,182,2
3140,207,663,2
3203,189,970,2
3204,213,419,2
3211,318,888,2
3212,139,655,2
3213,180,795,2
3216,126,185,2
3218,210,1522,2
3230,227,259,2
3231,20,168,2
3232,174,1007,2
3234,512,2264,2
3236,210,956,2
3238,59,735,2
3240,51,425,2
3241,141,185,2
3411,81,418,2
3413,48,13,2
3416,711,192,2
3476,233,546,2
3603,937,541,2
3606,658,340,2
3607,476,235,2
3608,363,188,2
3609,838,559,2
3616,99,131,2
3620,952,474,2
3709,791,951,2
3710,781,828,2
3711,301,311,2
3713,599,787,2
3729,787,169,2
3731,1544,361,2
3738,144,639,2
3741,83,723,2
3766,350,103,2
3775,164,52,2
3776,590,199,2
3777,454,79,2
3781,539,726,2
3782,1012,1439,2
3784,439,351,2
3785,57,55,2
3786,95,104,2
3787,1528,1955,2
3788,441,622,2
3790,835,246,2
3791,2239,332,2
3794,2045,247,2
3796,1302,498,2
