0,132,709,8
3,116,870,8
8,44,594,8
9,160,1026,8
10,291,566,8
11,329,229,8
12,45,479,8
13,625,4018,8
23,604,731,8
24,320,784,8
71,1182,1249,8
72,1210,2861,8
73,206,622,8
74,694,3393,8
75,67,706,8
76,216,1062,8
77,86,636,8
81,929,1734,8
82,863,1590,8
84,1606,1215,8
88,2169,157,8
89,1264,379,8
90,1180,937,8
91,2042,283,8
93,2233,2397,8
94,818,913,8
95,675,1300,8
96,3284,1201,8
97,1618,2112,8
98,917,535,8
99,1309,95,8
104,992,1727,8
105,1563,570,8
106,736,878,8
107,851,1421,8
108,625,577,8
109,1311,4328,8
110,164,2210,8
113,399,925,8
114,122,314,8
115,1406,908,8
116,67,181,8
117,395,363,8
118,315,1148,8
119,86,421,8
162,3274,8406,8
222,21,332,8
226,54,535,8
227,20,194,8
472,620,1464,8
473,22,169,8
474,54,184,8
475,39,220,8
476,12,68,8
622,288,963,8
623,3485,6510,8
624,60,190,8
625,36,611,8
626,264,1104,8
627,378,1200,8
628,1169,1799,8
629,93,480,8
630,1152,429,8
631,187,971,8
632,108,558,8
633,55,512,8
634,27,281,8
635,170,888,8
636,84,594,8
637,140,294,8
638,96,676,8
639,202,746,8
640,107,613,8
641,51,137,8
642,17,159,8
643,99,795,8
644,31,328,8
645,372,1226,8
646,27,291,8
694,180,702,8
695,127,799,8
696,119,521,8
697,113,761,8
698,514,637,8
699,404,1249,8
700,342,214,8
701,260,17,8
729,535,691,8
735,108,832,8
736,112,459,8
737,29,584,8
949,1194,1962,8
950,235,540,8
951,38,299,8
952,45,275,8
953,29,289,8
954,116,398,8
955,58,248,8
956,75,290,8
957,3,70,8
958,24,158,8
959,41,189,8
960,163,480,8
961,39,190,8
962,46,102,8
963,55,220,8
964,10,133,8
965,885,926,8
967,215,230,8
968,532,547,8
971,485,185,8
976,909,856,8
992,878,457,8
1028,167,1256,8
1895,3878,1087,8
1896,2685,4812,8
1897,3109,2821,8
1898,3554,6314,8
1899,2353,3130,8
1900,299,1083,8
1901,676,1120,8
1902,1578,3164,8
1903,2983,3439,8
1904,361,675,8
1905,2713,4203,8
1906,1221,2180,8
1907,2098,1493,8
1908,1328,1868,8
1909,2022,1909,8
1910,1374,2236,8
1911,104,1160,8
1912,807,1544,8
1913,97,430,8
1918,1171,2161,8
1921,152,503,8
1922,29,451,8
1923,66,280,8
1924,68,447,8
1925,127,821,8
1926,43,913,8
1927,111,381,8
1928,408,406,8
1929,24,493,8
1947,468,1316,8
1948,276,742,8
1949,442,823,8
1950,445,921,8
1951,604,1204,8
1952,30,115,8
1953,545,1441,8
1954,190,960,8
1955,1377,868,8
1956,511,1575,8
1958,207,975,8
1959,322,570,8
1960,80,389,8
1963,1019,2509,8
1964,104,583,8
1965,503,1165,8
1966,188,1167,8
